food_name,energy_kcal,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg
Dry masala chops,135.07,822.52,871.28,2214.07,2.24,112.25,103.52,10.66,83.47,219.97,1.39,0.03
Mutton korma,115.64,1168.11,966.88,1809.20,3.90,79.07,75.78,8.63,56.94,165.87,1.09,0.03
Shahi keema kofta curry,418.13,6172.19,9503.20,26149.47,14.97,14.51,46.65,12.06,104.53,119.63,0.67,0.05
Minced meat ball curry,109.79,2449.63,2445.44,2350.81,24.77,23.84,75.90,18.97,170.06,194.09,1.01,0.08
Boti kebab,132.86,600.83,714.80,1926.09,1.21,98.67,95.61,9.99,78.14,221.64,1.41,0.03
Mutton seekh kebab,133.94,113.45,431.57,257.35,0.00,117.44,105.95,19.83,102.17,269.59,2.19,0.08
Indian lamb and egg curry (Nargisi kofta),335.75,5010.52,7559.21,20490.22,44.04,12.91,47.06,8.06,57.44,85.80,0.55,0.04
Soya chunks sweet and sour (Nutrinugget sweet and sour),500.94,6602.28,11138.25,33675.70,23.51,13.89,41.68,11.23,2257.67,111.45,0.70,0.04
Soya chunks korma (Nutrinugget korma),131.43,2248.84,2138.19,4320.55,3.32,89.70,94.03,33.57,148.98,252.27,1.18,0.15
Mushroom matar,70.77,519.35,811.16,2560.04,0.00,21.42,42.27,21.71,61.63,214.87,0.81,0.10
Soya chunks and peas (Nutrinugget matar),82.62,640.48,1026.66,3128.07,0.00,20.32,34.93,22.75,70.97,173.49,0.99,0.11
Vegetable yakhni,406.06,5529.83,9567.01,26820.42,1.92,43.67,34.30,7.80,38.05,82.80,0.24,0.02
Spinach mushroom (Palak mushroom),47.63,988.63,607.92,1125.26,2.89,49.75,35.93,52.12,70.97,416.07,1.69,0.12
Vegetarian nargisi kofta curry,332.15,4675.81,6860.49,19930.77,1.03,47.09,42.55,11.15,73.56,147.70,0.38,0.05
Roast chicken,199.90,3695.47,2105.25,505.76,69.66,13.61,168.30,19.34,71.71,280.00,0.79,0.26
Shahi chicken masala,163.70,2887.01,2386.90,3922.17,24.78,82.68,124.15,21.76,142.56,230.91,0.89,0.14
Tomato chicken,111.68,685.21,1027.06,1706.20,27.94,21.24,95.13,21.29,104.83,252.17,0.87,0.17
Creamy chicken,152.87,1905.47,1579.29,2045.71,39.28,50.37,136.76,21.54,97.08,267.95,0.82,0.18
Broccoli chicken ala king,119.56,3647.71,1626.40,366.19,27.85,73.36,111.25,19.27,104.01,297.25,0.78,0.10
Ginger chicken,129.17,931.03,1401.98,3515.07,19.24,18.41,76.28,19.98,365.86,228.87,0.96,0.13
